Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Vitamin A, RAE",Vitamin D3 (cholecalciferol),"Calcium, Ca","Magnesium, Mg"
"Fish, sheepshead, cooked, dry heat",126.0,26.0,1.63,0.0,35.0,,37.0,35.0
"Fish, snapper, mixed species, raw",100.0,20.5,1.34,0.0,32.0,10.2,32.0,32.0
"Fish, spot, cooked, dry heat",158.0,23.7,6.28,0.0,35.0,,18.0,54.0
"Fish, sturgeon, mixed species, raw",105.0,16.1,4.04,0.0,210.0,10.3,13.0,35.0
"Fish, sturgeon, mixed species, smoked",173.0,31.2,4.4,0.0,280.0,16.1,17.0,47.0
"Fish, sunfish, pumpkin seed, raw",89.0,19.4,0.7,0.0,15.0,,80.0,30.0
"Fish, swordfish, cooked, dry heat",172.0,23.4,7.93,0.0,43.0,16.6,6.0,35.0
"Fish, tilapia, cooked, dry heat",128.0,26.2,2.65,0.0,0.0,3.7,14.0,34.0
"Fish, tilefish, cooked, dry heat",147.0,24.5,4.69,0.0,21.0,,26.0,33.0
"Fish, trout, mixed species, raw",148.0,20.8,6.61,0.0,17.0,3.9,43.0,22.0
"Fish, trout, rainbow, farmed, raw",141.0,19.9,6.18,0.0,84.0,15.9,25.0,25.0
"Fish, trout, rainbow, wild, raw",119.0,20.5,3.46,0.0,19.0,,67.0,31.0
"Fish, tuna, fresh, bluefin, raw",144.0,23.3,4.9,0.0,655.0,5.7,8.0,50.0
"Fish, tuna, fresh, skipjack, raw",103.0,22.0,1.01,0.0,16.0,,29.0,34.0
"Fish, tuna, fresh, yellowfin, raw",109.0,24.4,0.49,0.0,18.0,1.7,4.0,35.0
"Fish, whitefish, dried (Alaska Native)",371.0,62.4,13.4,0.0,39.0,,810.0,85.0
"Fish, whitefish, eggs (Alaska Native)",104.0,14.7,2.88,4.89,91.0,,46.0,30.0
"Fish, whitefish, mixed species, raw",134.0,19.1,5.86,0.0,36.0,12.0,26.0,33.0
"Fish, whitefish, mixed species, smoked",108.0,23.4,0.93,0.0,57.0,12.8,18.0,23.0
"Fish, whiting, mixed species, raw",90.0,18.3,1.31,0.0,30.0,1.4,48.0,21.0
"Fish, yellowtail, mixed species, raw",146.0,23.1,5.24,0.0,29.0,,23.0,30.0
"Soup, fish, homemade (Alaska Native)",72.0,7.4,2.2,5.6,,,35.0,1.0
"Soup, stock, fish, home-prepared",16.0,2.26,0.81,0.0,2.0,,3.0,7.0
"DENNY'S, fish fillet, battered or breaded, fried",234.0,13.8,12.2,17.4,2.0,,14.0,25.0
"Fast foods, fish sandwich, with tartar sauce",257.0,10.3,12.4,26.7,6.0,,37.0,25.0
"Fish, bass, striped, cooked, dry heat",124.0,22.7,2.99,0.0,31.0,,19.0,51.0
"Fish, catfish, channel, cooked, breaded and fried",229.0,18.1,13.3,8.04,8.0,,44.0,27.0
"Fish, cod, Atlantic, canned, solids and liquid",105.0,22.8,0.86,0.0,14.0,1.2,21.0,41.0
"Fish, cod, Atlantic, cooked, dry heat",105.0,22.8,0.86,0.0,14.0,1.2,14.0,42.0
"Fish, croaker, Atlantic, cooked, breaded and fried",221.0,18.2,12.7,7.54,23.0,,32.0,42.0
"Fish, drum, freshwater, cooked, dry heat",153.0,22.5,6.32,0.0,59.0,,77.0,38.0
"Fish, flatfish (flounder and sole species), raw",70.0,12.4,1.93,0.0,10.0,2.8,21.0,18.0
"Fish, halibut, cooked, with skin (Alaska Native)",113.0,22.1,2.73,0.0,48.0,,33.0,29.0
"Fish, halibut, greenland, cooked, dry heat",239.0,18.4,17.7,0.0,18.0,,4.0,33.0
"Fish, halibut, raw, with skin (Alaska Native)",116.0,20.5,2.92,1.81,47.0,,20.0,26.0
"Fish, herring, Atlantic, cooked, dry heat",203.0,23.0,11.6,0.0,36.0,5.4,74.0,41.0
"Fish, herring, Pacific, cooked, dry heat",250.0,21.0,17.8,0.0,35.0,,106.0,41.0
"Fish, lingcod, meat, raw (Alaska Native)",79.0,17.9,0.8,0.0,,,,
"Fish, mackerel, Atlantic, cooked, dry heat",262.0,23.8,17.8,0.0,54.0,,15.0,97.0
"Fish, mackerel, jack, canned, drained solids",156.0,23.2,6.3,0.0,130.0,7.3,241.0,37.0
"Fish, mackerel, king, cooked, dry heat",134.0,26.0,2.56,0.0,252.0,,40.0,41.0
"Fish, mackerel, spanish, cooked, dry heat",158.0,23.6,6.32,0.0,33.0,,13.0,38.0
"Fish, mullet, striped, cooked, dry heat",150.0,24.8,4.86,0.0,42.0,,31.0,33.0
"Fish, pike, northern, cooked, dry heat",113.0,24.7,0.88,0.0,24.0,,73.0,40.0
"Fish, pike, northern, liver (Alaska Native)",156.0,16.6,8.0,4.3,,,28.0,
"Fish, pike, walleye, cooked, dry heat",119.0,24.5,1.56,0.0,24.0,,141.0,38.0
"Fish, pollock, Atlantic, cooked, dry heat",118.0,24.9,1.26,0.0,12.0,,77.0,86.0
"Fish, pompano, florida, cooked, dry heat",211.0,23.7,12.1,0.0,36.0,,43.0,31.0
"Fish, pout, ocean, cooked, dry heat",102.0,21.3,1.17,0.0,14.0,,13.0,17.0
"Fish, rockfish, Pacific, mixed species, raw",90.0,18.4,1.34,0.0,4.0,3.8,14.0,27.0
"Fish, roughy, orange, cooked, dry heat",105.0,22.6,0.9,0.0,24.0,,11.0,18.0
"Fish, salmon, chinook, cooked, dry heat",231.0,25.7,13.4,0.0,149.0,,28.0,122.0
"Fish, salmon, chinook, smoked, (lox), regular",117.0,18.3,4.32,0.0,26.0,,11.0,18.0
"Fish, salmon, chum, cooked, dry heat",154.0,25.8,4.83,0.0,34.0,,14.0,28.0
"Fish, salmon, chum, dried (Alaska Native)",378.0,62.1,14.4,0.0,16.0,,155.0,68.0
"Fish, Salmon, Chum, raw (Alaska Native)",116.0,20.7,3.67,0.0,32.0,,7.0,26.0
"Fish, salmon, pink, canned, drained solids",138.0,23.1,5.02,0.0,20.0,14.5,283.0,32.0
"Fish, salmon, pink, cooked, dry heat",153.0,24.6,5.28,0.0,42.0,13.0,8.0,32.0
"Fish, salmon, sockeye, canned, drained solids",167.0,23.6,7.39,0.0,55.0,21.0,232.0,31.0
"Fish, salmon, sockeye, cooked, dry heat",156.0,26.5,5.57,0.0,58.0,16.7,11.0,36.0
"Fish, salmon, tipnuk, fermented (Alaska Native)",159.0,15.9,10.6,0.0,,,,
"Fish, sea bass, mixed species, raw",97.0,18.4,2.0,0.0,46.0,5.6,10.0,41.0
"Fish, shad, american, cooked, dry heat",252.0,21.7,17.6,0.0,36.0,,60.0,38.0
"Fish, smelt, rainbow, cooked, dry heat",124.0,22.6,3.1,0.0,17.0,,77.0,38.0
"Fish, sucker, white, cooked, dry heat",119.0,21.5,2.97,0.0,59.0,,90.0,38.0
"Fish, turbot, european, cooked, dry heat",122.0,20.6,3.78,0.0,12.0,,23.0,65.0
"Fish, whitefish, broad, liver (Alaska Native)",104.0,11.0,4.4,5.1,,,53.0,
"Fish, wolffish, Atlantic, cooked, dry heat",123.0,22.4,3.06,0.0,130.0,,8.0,38.0
"Fast foods, fish sandwich, with tartar sauce and cheese",279.0,11.3,14.6,26.4,22.0,,120.0,27.0
"Fish, anchovy, european, canned in oil, drained solids",210.0,28.9,9.71,0.0,12.0,1.7,232.0,69.0
"Fish, bass, fresh water, mixed species, raw",114.0,18.9,3.69,0.0,30.0,,80.0,30.0
"Fish, catfish, channel, farmed, cooked, dry heat",144.0,18.4,7.19,0.0,1.0,0.3,9.0,23.0
"Fish, catfish, channel, wild, cooked, dry heat",105.0,18.5,2.85,0.0,15.0,,11.0,28.0
"Fish, eel, mixed species, cooked, dry heat",236.0,23.6,15.0,0.0,1140.0,,26.0,26.0
"Fish, grouper, mixed species, cooked, dry heat",118.0,24.8,1.3,0.0,50.0,,21.0,37.0
"Fish, halibut, Atlantic and Pacific, cooked, dry heat",111.0,22.5,1.61,0.0,24.0,5.8,9.0,28.0
"Fish, herring eggs, Pacific, dry (Alaska Native)",312.0,60.4,6.6,2.8,,,29.0,
"Fish, herring eggs, Pacific, plain (Alaska Native)",74.0,9.6,1.93,4.47,,,19.0,
"Fish, mackerel, Pacific and jack, mixed species, raw",158.0,20.1,7.89,0.0,19.0,9.1,23.0,28.0
"Fish, ocean perch, Atlantic, cooked, dry heat",96.0,18.5,1.87,0.0,15.0,1.4,34.0,27.0
"Fish, perch, mixed species, cooked, dry heat",117.0,24.9,1.18,0.0,10.0,,102.0,38.0
"Fish, roe, mixed species, cooked, dry heat",204.0,28.6,8.23,1.92,91.0,,28.0,26.0
"Fish, salmon, Atlantic, farmed, cooked, dry heat",206.0,22.1,12.4,0.0,69.0,,15.0,30.0
"Fish, salmon, Atlantic, wild, cooked, dry heat",182.0,25.4,8.13,0.0,13.0,,15.0,37.0
"Fish, salmon, chum, canned, drained solids with bone",141.0,21.4,5.5,0.0,18.0,9.6,249.0,30.0
"Fish, salmon, coho (silver), raw (Alaska Native)",140.0,22.6,5.57,0.0,30.0,,5.0,28.0
"Fish, salmon, coho, farmed, cooked, dry heat",178.0,24.3,8.23,0.0,59.0,,12.0,34.0
"Fish, salmon, coho, wild, cooked, dry heat",139.0,23.4,4.3,0.0,51.0,11.3,45.0,33.0
"Fish, salmon, coho, wild, cooked, moist heat",184.0,27.4,7.5,0.0,32.0,,46.0,35.0
"Fish, salmon, king (chinook), raw (Alaska Native)",187.0,20.2,11.7,0.0,136.0,,42.0,24.0
"Fish, salmon, king, chinook, liver (Alaska Native)",156.0,16.6,8.0,4.3,,,28.0,
"Fish, salmon, king, with skin, kippered, (Alaska Native)",209.0,23.2,13.0,0.0,12.0,,55.0,29.0
"Fish, salmon, pink, canned, total can contents",129.0,19.7,4.97,0.0,17.0,13.7,215.0,30.0
"Fish, salmon, red, (sockeye), kippered (Alaska Native)",141.0,24.5,4.75,0.0,15.0,,54.0,31.0
"Fish, salmon, sockeye (red), raw (Alaska Native)",153.0,21.9,7.28,0.0,58.0,,7.0,27.0
"Fish, seatrout, mixed species, cooked, dry heat",133.0,21.5,4.63,0.0,35.0,,22.0,40.0
"Fish, snapper, mixed species, cooked, dry heat",128.0,26.3,1.72,0.0,35.0,,40.0,37.0
"Fish, sturgeon, mixed species, cooked, dry heat",135.0,20.7,5.18,0.0,263.0,12.9,17.0,45.0
"Fish, sunfish, pumpkin seed, cooked, dry heat",114.0,24.9,0.9,0.0,17.0,,103.0,38.0
"Fish, trout, brook, raw, New York State",110.0,21.2,2.73,0.0,,,25.0,28.0
"Fish, trout, mixed species, cooked, dry heat",190.0,26.6,8.47,0.0,19.0,,55.0,28.0
"Fish, trout, rainbow, farmed, cooked, dry heat",168.0,23.8,7.38,0.0,100.0,19.0,30.0,30.0
"Fish, trout, rainbow, wild, cooked, dry heat",150.0,22.9,5.82,0.0,15.0,,86.0,31.0
"Fish, tuna, fresh, bluefin, cooked, dry heat",184.0,29.9,6.28,0.0,757.0,,10.0,64.0
"Fish, tuna, light, canned in oil, drained solids",198.0,29.1,8.21,0.0,23.0,6.7,13.0,31.0
"Fish, tuna, skipjack, fresh, cooked, dry heat",132.0,28.2,1.29,0.0,18.0,,37.0,44.0
"Fish, tuna, white, canned in oil, drained solids",186.0,26.5,8.08,0.0,5.0,,4.0,34.0
"Fish, tuna, white, canned in water, drained solids",128.0,23.6,2.97,0.0,6.0,2.0,14.0,33.0
"Fish, tuna, yellowfin, fresh, cooked, dry heat",130.0,29.2,0.59,0.0,22.0,2.0,4.0,42.0
"Fish, whitefish, mixed species, cooked, dry heat",172.0,24.5,7.51,0.0,39.0,,33.0,42.0
"Fish, whitefish, mixed species, raw (Alaska Native)",131.0,18.9,6.1,0.0,,,,33.0
"Fish, whiting, mixed species, cooked, dry heat",116.0,23.5,1.69,0.0,38.0,1.8,62.0,27.0
"Fish, yellowtail, mixed species, cooked, dry heat",187.0,29.7,6.72,0.0,31.0,,29.0,38.0
"McDONALD'S, FILET-O-FISH (without tartar sauce)",243.0,12.5,7.62,31.1,,,128.0,23.0
"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",470.0,9.0,43.5,10.5,34.0,,,16.0
"Fish, bass, freshwater, mixed species, cooked, dry heat",146.0,24.2,4.73,0.0,35.0,,103.0,38.0
"Fish, flatfish (flounder and sole species), cooked, dry heat",86.0,15.2,2.37,0.0,12.0,3.5,25.0,22.0
"Fish, herring eggs on giant kelp, Pacific (Alaska Native)",63.0,11.3,0.8,2.6,,,161.0,
"Fish, rockfish, Pacific, mixed species, cooked, dry heat",109.0,22.2,1.62,0.0,5.0,4.6,17.0,33.0
"Fish, salmon, king, chinook, kippered, canned (Alaska Native)",266.0,30.7,15.9,0.0,,,38.0,
"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",150.0,23.2,5.9,0.0,,,60.0,
"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",430.0,39.9,30.0,0.0,,,23.0,
"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",206.0,35.2,7.26,0.0,19.0,,69.0,39.0
"Fish, salmon, red, canned, bones removed (Alaska Native)",161.0,27.3,5.76,0.0,65.0,,28.0,32.0
"Fish, sardine, Atlantic, canned in oil, drained solids with bone",208.0,24.6,11.4,0.0,32.0,4.8,382.0,39.0
"Fish, sea bass, mixed species, cooked, dry heat",124.0,23.6,2.56,0.0,64.0,,13.0,53.0
"Fish, shark, mixed species, cooked, batter-dipped and fried",228.0,18.6,13.8,6.39,54.0,,50.0,43.0
"Restaurant, family style, fish fillet, battered or breaded, fried",219.0,13.5,10.8,16.9,3.0,,14.0,23.0
"Fish, cod, Pacific, raw (may have been previously frozen)",69.0,15.3,0.41,0.0,2.0,0.5,8.0,20.0
"Fish, mackerel, Pacific and jack, mixed species, cooked, dry heat",201.0,25.7,10.1,0.0,23.0,11.4,29.0,36.0
"Fish, pollock, Alaska, raw (may contain additives to retain moisture)",56.0,12.2,0.41,0.0,3.0,0.2,15.0,16.0
"Fish, salmon, chum, canned, without salt, drained solids with bone",141.0,21.4,5.5,0.0,18.0,,249.0,30.0
"Fish, Salmon, pink, canned, drained solids, without skin and bones",136.0,24.6,4.21,0.0,20.0,14.1,60.0,24.0
"Fish, salmon, pink, canned, without salt, solids with bone and liquid",139.0,19.8,6.05,0.0,17.0,,213.0,34.0
"Fish, salmon, sockeye, canned, without salt, drained solids with bone",153.0,20.5,7.31,0.0,53.0,,239.0,29.0
"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",185.0,20.9,10.4,0.54,34.0,4.8,240.0,34.0
"Fish, tuna, light, canned in oil, without salt, drained solids",198.0,29.1,8.21,0.0,,,13.0,31.0
"Fish, tuna, light, canned in water, without salt, drained solids",116.0,25.5,0.82,0.0,,,11.0,27.0
"Fish, tuna, white, canned in oil, without salt, drained solids",186.0,26.5,8.08,0.0,,,4.0,34.0
"Fish, tuna, white, canned in water, without salt, drained solids",128.0,23.6,2.97,0.0,6.0,,14.0,33.0
"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",353.0,3.4,31.8,13.4,,,8.0,7.0
"Fish, herring, Pacific, flesh, air-dried, packed in oil (Alaska Native)",489.0,44.5,34.6,0.0,,,,
"Fish, whitefish, broad, head, eyes, cheeks and soft bones (Alaska Native)",107.0,18.6,3.6,0.0,,,,
"Fish, cod, Pacific, cooked, dry heat (may contain additives to retain moisture)",85.0,18.7,0.5,0.0,2.0,0.6,10.0,24.0
"Fish, pollock, Alaska, cooked, dry heat (may contain additives to retain moisture)",111.0,23.5,1.18,0.0,17.0,1.3,72.0,81.0
"Margarine-like spread, SMART BALANCE Omega Plus Spread (with plant sterols & fish oil)",605.0,0.13,71.0,0.16,,,,
"Fish, tuna, light, canned in water, drained solids (Includes foods for USDA's Food Distribution Program)",86.0,19.4,0.96,0.0,17.0,1.2,17.0,23.0
